time,id,value
115,91,10254
115,92,8895
115,93,12117
115,94,8616
115,95,8831
115,96,17071
115,97,0
115,98,0
115,99,0
115,100,0
115,101,19731
115,102,0
115,103,0
115,104,0
115,105,0
115,106,15771
115,107,0
115,108,0
115,109,0
115,110,0
115,111,16336
116,64,13951
116,65,12027
116,66,8899
116,67,4646
116,68,11857
116,69,10173
116,70,15153
116,71,13698
116,72,12060
116,73,14596
116,74,4551
116,75,9550
116,76,14373
116,77,11761
116,78,10212
116,79,7433
116,80,11078
116,81,12573
116,82,7550
116,83,8340
116,84,10926
116,85,12732
116,86,10957
116,87,9622
116,88,9252
116,89,7489
116,90,7707
116,91,10254
116,92,8895
116,93,12117
116,94,8616
116,95,8831
116,96,17071
116,97,0
116,98,0
116,99,0
116,100,0
116,101,19731
116,102,0
116,103,0
116,104,0
116,105,0
116,106,15771
116,107,0
116,108,0
116,109,0
116,110,0
116,111,16336
117,64,13951
117,65,12027
117,66,8899
117,67,4646
117,68,11857
117,69,10173
117,70,15153
117,71,13698
117,72,12060
117,73,14596
117,74,4551
117,75,9550
117,76,14373
117,77,11761
117,78,10212
117,79,7433
117,80,11078
117,81,12573
117,82,7550
117,83,8340
117,84,10926
117,85,12732
117,86,10957
117,87,9622
117,88,9252
117,89,7489
117,90,7707
117,91,10254
117,92,8895
117,93,12117
117,94,8616
117,95,8831
117,96,17071
117,97,0
117,98,0
117,99,0
117,100,0
117,101,19731
117,102,0
117,103,0
117,104,0
117,105,0
117,106,15771
117,107,0
117,108,0
117,109,0
117,110,0
117,111,16336
118,64,13951
118,65,12027
118,66,8899
118,67,4646
118,68,11857
118,69,10173
118,70,15153
118,71,13698
118,72,12060
118,73,14596
118,74,4551
118,75,9550
118,76,14373
118,77,11761
118,78,10212
118,79,7433
118,80,11078
118,81,12573
118,82,7550
118,83,8340
118,84,10926
118,85,12732
118,86,10957
118,87,9622
118,88,9252
118,89,7489
118,90,7707
118,91,10254
118,92,8895
118,93,12117
118,94,8616
118,95,8831
118,96,17071
118,97,0
118,98,0
118,99,0
118,100,0
118,101,19731
118,102,0
118,103,0
118,104,0
118,105,0
118,106,15771
118,107,0
118,108,0
118,109,0
118,110,0
118,111,16336
119,64,13951
119,65,12027
119,66,8899
119,67,4646
119,68,11857
119,69,10173
119,70,15153
119,71,13698
119,72,12060
119,73,14596
119,74,4551
119,75,9550
119,76,14373
119,77,11761
119,78,10212
119,79,7433
119,80,11078
119,81,12573
119,82,7550
119,83,8340
119,84,10926
119,85,12732
119,86,10957
119,87,9622
119,88,9252
119,89,7489
119,90,7707
119,91,10254
119,92,8895
119,93,12117
119,94,8616
119,95,8831
119,96,17071
119,97,0
119,98,0
119,99,0
119,100,0
119,101,19731
119,102,0
119,103,0
119,104,0
119,105,0
119,106,15771
119,107,0
119,108,0
119,109,0
119,110,0
119,111,16336
120,64,16073
120,65,13446
120,66,8706
120,67,7587
120,68,10445
120,69,8437
120,70,11735
120,71,12642
120,72,12490
120,73,16489
120,74,6257
120,75,8079
120,76,12062
120,77,11769
120,78,11848
120,79,8273
120,80,13572
120,81,12438
120,82,9036
120,83,11010
120,84,11910
120,85,11266
120,86,9587
120,87,9048
120,88,10632
120,89,9130
120,90,6969
120,91,10560
120,92,8971
120,93,12434
120,94,9674
120,95,9895
120,96,19067
120,97,0
120,98,0
120,99,0
120,100,0
120,101,21040
120,102,0
120,103,0
120,104,0
120,105,0
120,106,15760
120,107,0
120,108,0
120,109,0
120,110,0
120,111,18334
121,64,16073
121,65,13446
121,66,8706
121,67,7587
121,68,10445
121,69,8437
121,70,11735
121,71,12642
121,72,12490
121,73,16489
121,74,6257
121,75,8079
121,76,12062
121,77,11769
121,78,11848
121,79,8273
121,80,13572
121,81,12438
121,82,9036
121,83,11010
121,84,11910
121,85,11266
121,86,9587
121,87,9048
121,88,10632
121,89,9130
121,90,6969
121,91,10560
121,92,8971
121,93,12434
121,94,9674
121,95,9895
121,96,19067
121,97,0
121,98,0
121,99,0
121,100,0
121,101,21040
121,102,0
121,103,0
121,104,0
121,105,0
121,106,15760
121,107,0
121,108,0
121,109,0
121,110,0
121,111,18334
122,64,16073
122,65,13446
122,66,8706
122,67,7587
122,68,10445
122,69,8437
122,70,11735
122,71,12642
122,72,12490
122,73,16489
122,74,6257
122,75,8079
122,76,12062
122,77,11769
122,78,11848
122,79,8273
122,80,13572
122,81,12438
122,82,9036
122,83,11010
122,84,11910
122,85,11266
122,86,9587
122,87,9048
122,88,10632
122,89,9130
122,90,6969
122,91,10560
122,92,8971
122,93,12434
122,94,9674
122,95,9895
122,96,19067
122,97,0
122,98,0
122,99,0
122,100,0
122,101,21040
122,102,0
122,103,0
122,104,0
122,105,0
122,106,15760
122,107,0
122,108,0
122,109,0
122,110,0
122,111,18334
123,64,16073
123,65,13446
123,66,8706
123,67,7587
123,68,10445
123,69,8437
123,70,11735
123,71,12642
123,72,12490
123,73,16489
123,74,6257
123,75,8079
123,76,12062
123,77,11769
123,78,11848
123,79,8273
123,80,13572
123,81,12438
123,82,9036
123,83,11010
123,84,11910
