x,y,id
127,500,119
100,600,119
1034,600,120
1043,500,120
1043,400,120
1014,200,120
1411,400,120
1411,500,120
1420,600,120
406,600,121
397,500,121
388,600,121
522,600,122
495,500,122
675,400,122
1014,200,122
307,400,122
127,500,122
100,600,122
1438,600,123
1411,500,123
1321,400,123
1501,500,123
1474,600,123
486,600,124
495,500,124
468,600,124
406,600,125
397,500,125
217,400,125
307,500,125
298,600,125
118,600,126
127,500,126
217,400,126
614,200,126
585,400,126
585,500,126
558,600,126
1204,600,127
1231,500,127
1501,400,127
1414,200,127
765,400,127
675,500,127
666,600,127
244,600,128
217,500,128
217,400,128
614,200,128
1321,400,128
1501,500,128
1492,600,128
226,600,129
217,500,129
127,400,129
214,200,129
495,400,129
585,500,129
594,600,129
1312,600,130
1321,500,130
1231,400,130
214,200,130
863,400,130
1133,500,130
1124,600,130
854,600,131
863,500,131
872,600,131
684,600,132
675,500,132
495,400,132
214,200,132
863,400,132
863,500,132
836,600,132
388,600,133
397,500,133
397,400,133
1414,200,133
765,400,133
585,500,133
612,600,133
792,600,134
765,500,134
765,400,134
1414,200,134
397,400,134
127,500,134
100,600,134
468,600,135
495,500,135
585,400,135
585,500,135
576,600,135
890,600,136
863,500,136
1043,400,136
953,500,136
926,600,136
1294,600,137
1321,500,137
1231,400,137
214,200,137
127,400,137
397,500,137
406,600,137
1106,600,138
1133,500,138
863,400,138
863,500,138
854,600,138
226,600,139
217,500,139
127,400,139
214,200,139
495,400,139
675,500,139
684,600,139
854,600,140
863,500,140
872,600,140
1142,600,141
1133,500,141
953,400,141
614,200,141
1321,400,141
1411,500,141
1438,600,141
1124,600,142
1133,500,142
1043,400,142
1014,200,142
1411,400,142
1411,500,142
1384,600,142
836,600,143
863,500,143
1043,400,143
1043,500,143
1016,600,143
926,600,144
953,500,144
863,400,144
214,200,144
127,400,144
307,500,144
298,600,144
684,600,145
675,500,145
495,400,145
495,500,145
504,600,145
244,600,146
217,500,146
397,400,146
1414,200,146
1133,400,146
1133,500,146
1160,600,146
298,600,147
307,500,147
127,400,147
214,200,147
495,400,147
765,500,147
756,600,147
792,600,148
765,500,148
765,400,148
585,500,148
594,600,148
836,600,149
863,500,149
1043,400,149
1014,200,149
1411,400,149
1411,500,149
1402,600,149
468,600,150
495,500,150
495,400,150
214,200,150
863,400,150
863,500,150
872,600,150
872,600,151
863,500,151
1043,400,151
1014,200,151
675,400,151
585,500,151
576,600,151
854,600,152
863,500,152
1133,400,152
1414,200,152
765,400,152
495,500,152
522,600,152
280,600,153
307,500,153
217,400,153
614,200,153
953,400,153
863,500,153
890,600,153
136,600,154
127,500,154
397,400,154
217,500,154
226,600,154
1258,600,155
1231,500,155
1411,400,155
1014,200,155
1043,400,155
863,500,155
872,600,155
316,600,156
307,500,156
